sNo	Company Name	URL
154	GODREJPROP	https://www.tickertape.in/stocks/godrej-properties-GODR
155	HAL	https://www.tickertape.in/stocks/hindustan-aeronautics-HIAE
156	GRANULES	https://www.tickertape.in/stocks/granules-india-GRAN
157	GREENPANEL	https://www.tickertape.in/stocks/greenpanel-industries-GREP
158	HAPPSTMNDS	https://www.tickertape.in/stocks/happiest-minds-technologies-HAPP
159	GRINDWELL	https://www.tickertape.in/stocks/grindwell-norton-GRNN
160	GSPL	https://www.tickertape.in/stocks/gujarat-state-petronet-GSPT
161	GUJGASLTD	https://www.tickertape.in/stocks/gujarat-gas-GGAS
162	HAVELLS	https://www.tickertape.in/stocks/havells-india-HVEL
163	GUJALKALI	https://www.tickertape.in/stocks/gujarat-alkalies-and-chemicals-GALK
164	GRASIM	https://www.tickertape.in/stocks/grasim-industries-GRAS
165	GSFC	https://www.tickertape.in/stocks/gujarat-state-fertilizers-and-chemicals-GSFC
166	GPPL	https://www.tickertape.in/stocks/gujarat-pipavav-port-GPPL
167	GRAPHITE	https://www.tickertape.in/stocks/graphite-india-GRPH
168	HINDALCO	https://www.tickertape.in/stocks/hindalco-industries-HALC
169	HUDCO	https://www.tickertape.in/stocks/housing-and-urban-development-corporation-HUDC
170	HINDPETRO	https://www.tickertape.in/stocks/hindustan-petroleum-corp-HPCL
171	HDFC	https://www.tickertape.in/stocks/housing-development-finance-corporation-HDFC
172	HINDZINC	https://www.tickertape.in/stocks/hindustan-zinc-HZNC
173	HDFCBANK	https://www.tickertape.in/stocks/hdfc-bank-HDBK
174	IBREALEST	https://www.tickertape.in/stocks/indiabulls-real-estate-INRL
175	HGS	https://www.tickertape.in/stocks/hinduja-global-solutions-HGSL
176	HDFCLIFE	https://www.tickertape.in/stocks/hdfc-life-insurance-company-HDFL
177	HINDCOPPER	https://www.tickertape.in/stocks/hindustan-copper-HCPR
178	IBULHSGFIN	https://www.tickertape.in/stocks/indiabulls-housing-finance-INBF
179	HCLTECH	https://www.tickertape.in/stocks/hcl-technologies-HCLT
